Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss,FOM
100k,0,0,1,0,0,0,0,0,0.2,0.5,0,20,0.2429831922,0.0055649406,43.6632139793
100k,0,0,1,0,0,0,0,0,0.2,0.51,0,20,0.2720625699,0.0060895071,44.677272796
100k,0,0,1,0,0,0,0,0,0.2,0.52,0,20,0.304074347,0.0066386163,45.8038743706
100k,0,0,1,0,0,0,0,0,0.2,0.53,0,20,0.3391754627,0.007212122,47.0285254049
100k,0,0,1,0,0,0,0,0,0.2,0.54,0,20,0.3765781224,0.0078099156,48.2179503195
100k,0,0,1,0,0,0,0,0,0.2,0.55,0,20,0.4153338969,0.0084281405,49.2794225369
100k,0,0,1,0,0,0,0,0,0.2,0.56,0,20,0.4550139308,0.0090581691,50.2324394452
100k,0,0,1,0,0,0,0,0,0.2,0.57,0,20,0.495934993,0.0096986033,51.134681733
100k,0,0,1,0,0,0,0,0,0.2,0.58,0,20,0.5359287262,0.0103428373,51.8164127168
100k,0,0,1,0,0,0,0,0,0.2,0.59,0,20,0.5708388686,0.0109799001,51.989441015
100k,0,0,1,0,0,0,0,0,0.2,0.6,0,20,0.5990645289,0.0116001237,51.642943161
100k,0,0,1,0,0,0,0,0,0.2,0.61,0,20,0.6202709675,0.0121914577,50.8775064281
100k,0,0,1,0,0,0,0,0,0.2,0.62,0,20,0.6351682544,0.0127469301,49.8291156708
100k,0,0,1,0,0,0,0,0,0.2,0.63,0,20,0.6443962455,0.0132697271,48.5613788923
100k,0,0,1,0,0,0,0,0,0.2,0.64,0,20,0.6485107541,0.0137617113,47.1242812731
100k,0,0,1,0,0,0,0,0,0.2,0.65,0,20,0.6480189562,0.0142234983,45.5597450453
,0,0,1,0,0,0,0,0,0.2,0.66,0,20,0.6433897614,0.0146555211,43.9008450815
,0,0,1,0,0,0,0,0,0.2,0.67,0,20,0.634991169,0.015058035,42.1695904545
,0,0,1,0,0,0,0,0,0.2,0.68,0,20,0.6231524348,0.0154306181,40.3841525182
,0,0,1,0,0,0,0,0,0.2,0.69,0,20,0.6081451178,0.015776122,38.5484542906
,0,0,1,0,0,0,0,0,0.2,0.7,0,20,0.5902139544,0.0161171407,36.6202644369
