Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.2,0.2,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.2,0.4,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.2,0.6,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.2,0.8,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.4,0.2,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.4,0.4,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.4,0.6,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.4,0.8,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.6,0.2,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.6,0.4,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.6,0.6,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.6,0.8,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.8,0.2,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.8,0.4,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.8,0.6,0,20,,,,,,,,,,,,,,,,,,
100k,0,0,1,0,0,0,0,0,0.8,0.8,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.2,0.2,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.2,0.4,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.2,0.6,0,20,,,,,,,,,,,,,,,,,,]
10M,0,0,0,0,1,0,0,0,0.2,0.8,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.4,0.2,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.4,0.4,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.4,0.6,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.4,0.8,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.6,0.2,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.6,0.4,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.6,0.6,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.6,0.8,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.8,0.2,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.8,0.4,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.8,0.6,0,20,,,,,,,,,,,,,,,,,,
10M,0,0,0,0,1,0,0,0,0.8,0.8,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.2,0.2,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.2,0.4,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.2,0.6,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.2,0.8,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.4,0.2,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.4,0.4,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.4,0.6,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.4,0.8,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.6,0.2,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.6,0.4,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.6,0.6,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.6,0.8,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.8,0.2,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.8,0.4,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.8,0.6,0,20,,,,,,,,,,,,,,,,,,
1G,0,0,0,0,0,0,1,0,0.8,0.8,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.2,0.2,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.2,0.4,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.2,0.6,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.2,0.8,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.4,0.2,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.4,0.4,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.4,0.6,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.4,0.8,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.6,0.2,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.6,0.4,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.6,0.6,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.6,0.8,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.8,0.2,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.8,0.4,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.8,0.6,0,20,,,,,,,,,,,,,,,,,,
10G,0,0,0,0,0,0,0,1,0.8,0.8,0,20,,,,,,,,,,,,,,,,,,
