frequency,1k,10k,100k,1M,10M,100M,1G,10G,electric field,defect,x,Mg,tunability,loss
1000,1,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0.0006037283
1000,1,0,0,0,0,0,0,0,1,0.2,0.3,0,6.99334876619329E-05,0.000603686
1000,1,0,0,0,0,0,0,0,2,0.2,0.3,0,0.0002808398,0.0006035587
1000,1,0,0,0,0,0,0,0,3,0.2,0.3,0,0.0006321549,0.0006033466
1000,1,0,0,0,0,0,0,0,4,0.2,0.3,0,0.001123133,0.0006030502
1000,1,0,0,0,0,0,0,0,5,0.2,0.3,0,0.0017528488,0.00060267
1000,1,0,0,0,0,0,0,0,6,0.2,0.3,0,0.0025202005,0.0006022067
1000,1,0,0,0,0,0,0,0,7,0.2,0.3,0,0.0034239137,0.0006016611
1000,1,0,0,0,0,0,0,0,8,0.2,0.3,0,0.0044625454,0.0006010341
1000,1,0,0,0,0,0,0,0,9,0.2,0.3,0,0.0056344893,0.0006003266
1000,1,0,0,0,0,0,0,0,10,0.2,0.3,0,0.0069379807,0.0005995396
1000,1,0,0,0,0,0,0,0,11,0.2,0.3,0,0.0083711031,0.0005986744
1000,1,0,0,0,0,0,0,0,12,0.2,0.3,0,0.0099317942,0.0005977321
1000,1,0,0,0,0,0,0,0,13,0.2,0.3,0,0.0116178529,0.0005967142
1000,1,0,0,0,0,0,0,0,14,0.2,0.3,0,0.0134269465,0.000595622
1000,1,0,0,0,0,0,0,0,15,0.2,0.3,0,0.0153566187,0.000594457
1000,1,0,0,0,0,0,0,0,16,0.2,0.3,0,0.0174042967,0.0005932208
1000,1,0,0,0,0,0,0,0,17,0.2,0.3,0,0.0195673001,0.0005919149
1000,1,0,0,0,0,0,0,0,18,0.2,0.3,0,0.021842849,0.0005905411
1000,1,0,0,0,0,0,0,0,19,0.2,0.3,0,0.0242280719,0.000589101
1000,1,0,0,0,0,0,0,0,20,0.2,0.3,0,0.0267200153,0.0005875966
1000,1,0,0,0,0,0,0,0,21,0.2,0.3,0,0.0293156513,0.0005860295
1000,1,0,0,0,0,0,0,0,22,0.2,0.3,0,0.0320118869,0.0005844017
1000,1,0,0,0,0,0,0,0,23,0.2,0.3,0,0.034805572,0.0005827151
1000,1,0,0,0,0,0,0,0,24,0.2,0.3,0,0.0376935086,0.0005809715
1000,1,0,0,0,0,0,0,0,25,0.2,0.3,0,0.0406724583,0.0005791731
