Material,Frequency,1k,10k,100k,1M,10M,100M,1G,10G,defect,x,Mg,electric field,tunability,loss
Ba0.7Sr0.3TiO3+10mol%MgO,10k,0,1,0,0,0,0,0,0,0.2,0.7,0.8,20,0.22,0.007
Ba0.7Sr0.3TiO3+7.5mol%MgO,10k,0,1,0,0,0,0,0,0,0.2,0.7,0.69,20,0.26,0.009
Ba0.7Sr0.3TiO3+2.5mol%MgO,10k,0,1,0,0,0,0,0,0,0.2,0.7,0.48,20,0.34,0.013
Ba0.45Sr0.55TiO3,10G,0,0,0,0,0,0,0,1,0.13,0.45,0,20,0.152,0.0138
Ba0.45Sr0.55TiO3+1wt% MgO,10G,0,0,0,0,0,0,0,1,0.13,0.45,1.17,20,0.371,0.0079
Ba0.45Sr0.55TiO3+10wt% MgO,10G,0,0,0,0,0,0,0,1,0.13,0.45,1.17,20,0.039,0.0066
Ba0.45Sr0.55TiO3+30wt% MgO,10G,0,0,0,0,0,0,0,1,0.13,0.45,1.09,20,0.0478,0.0063
Ba0.45Sr0.55TiO3+60wt% MgO,10G,0,0,0,0,0,0,0,1,0.13,0.45,1.19,20,0.037,0.0041
Ba0.5Sr0.5TiO3,10G,0,0,0,0,0,0,0,1,0.2,0.5,0,20,0.25,0.018
Ba0.5Sr0.5TiO3+5wt% MgO,10G,0,0,0,0,0,0,0,1,0.2,0.5,1.1,20,0.051,0.0105
Ba0.5Sr0.5TiO3+10wt% MgO,10G,0,0,0,0,0,0,0,1,0.2,0.5,1.08,20,0.055,0.0103
Ba0.5Sr0.5TiO3+20wt% MgO,10G,0,0,0,0,0,0,0,1,0.2,0.5,1.02,20,0.064,0.0087
Ba0.5Sr0.5TiO3+60wt% MgO,10G,0,0,0,0,0,0,0,1,0.2,0.5,1.22,20,0.037,0.0066
Ba0.55Sr0.45TiO3+0.25wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.34,20,0.208,0.0181
Ba0.55Sr0.45TiO3+0.5wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.67,20,0.116,0.0201
Ba0.55Sr0.45TiO3+1wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.9,20,0.0652,0.0155
Ba0.55Sr0.45TiO3+5wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.78,20,0.0863,0.015
Ba0.55Sr0.45TiO3+20wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.77,20,0.088,0.0135
Ba0.55Sr0.45TiO3+30wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.74,20,0.095,0.0121
Ba0.55Sr0.45TiO3+60wt% MgO,10G,0,0,0,0,0,0,0,1,0.38,0.55,0.9,20,0.065,0.008
Ba0.6Sr0.4TiO3,10G,0,0,0,0,0,0,0,1,0.28,0.6,0,20,0.563,0.0908
Ba0.6Sr0.4TiO3+0.25wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.79,20,0.1597,0.0395
Ba0.6Sr0.4TiO3+0.5wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.93,20,0.1198,0.035
Ba0.6Sr0.4TiO3+1wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.81,20,0.1541,0.0296
Ba0.6Sr0.4TiO3+5wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.82,20,0.15,0.0252
Ba0.6Sr0.4TiO3+10wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.77,20,0.166,0.023
Ba0.6Sr0.4TiO3+20wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,0.79,20,0.158,0.0221
Ba0.6Sr0.4TiO3+60wt% MgO,10G,0,0,0,0,0,0,0,1,0.28,0.6,1,20,0.1,0.0129
Ba0.6Sr0.4TiO3+10wt% MgO,1M,0,0,0,1,0,0,0,0,0.28,0.6,0.74,20,0.166,0.00162
Ba0.6Sr0.4TiO3+30wt% MgO,1M,0,0,0,1,0,0,0,0,0.28,0.6,0.81,20,0.148,0.00159
Ba0.6Sr0.4TiO3+60wt% MgO,1M,0,0,0,1,0,0,0,0,0.28,0.6,1,20,0.099,0.00148
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,1,0.022,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,2,0.042,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,3,0.066,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,4,0.094,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,5,0.119,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,6,0.144,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,7,0.168,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,8,0.194,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,9,0.218,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,11,0.264,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,12,0.286,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,13,0.306,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,14,0.329,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,15,0.349,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,16,0.37,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,17,0.39,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,18,0.409,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,19,0.427,0.00234
Ba0.6Sr0.4TiO3,10k,0,1,0,0,0,0,0,0,0.37,0.6,0,20,0.443,0.00234
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,1,0.005,0.00174
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,2,0.013,0.00175
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,3,0.02,0.00172
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,4,0.028,0.0017
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,5,0.036,0.00168
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,6,0.047,0.00163
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,7,0.057,0.00165
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,8,0.068,0.00165
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,9,0.08,0.00162
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,10,0.093,0.00162
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,11,0.105,0.00162
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,12,0.116,0.00162
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,13,0.125,0.00158
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,14,0.136,0.00157
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,16,0.159,0.00151
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,17,0.171,0.00155
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,18,0.185,0.00155
Ba0.5Sr0.5TiO3,10k,0,1,0,0,0,0,0,0,0.25,0.5,0,19,0.19,0.00152
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,1,0.001,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,2,0.002,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,3,0.006,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,4,0.008,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,5,0.011,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,6,0.015,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,7,0.018,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,8,0.022,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,9,0.029,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,10,0.036,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,11,0.041,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,12,0.049,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,13,0.054,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,14,0.061,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,15,0.069,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,16,0.077,0.0008
Ba0.4Sr0.6TiO3,10k,0,1,0,0,0,0,0,0,0.05,0.4,0,17,0.085,0.0008
