frequency,1k,10k,100k,1M,10M,100M,1G,10G,electric field,defect,x,Mg,tunability,loss
1000,1,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0.0011799948
1000,1,0,0,0,0,0,0,0,1,0.2,0.3,0,0.000068274,0.0011799142
1000,1,0,0,0,0,0,0,0,2,0.2,0.3,0,0.000274177,0.0011796712
1000,1,0,0,0,0,0,0,0,3,0.2,0.3,0,0.0006171625,0.0011792665
1000,1,0,0,0,0,0,0,0,4,0.2,0.3,0,0.0010965092,0.0011787009
1000,1,0,0,0,0,0,0,0,5,0.2,0.3,0,0.0017113232,0.0011779754
1000,1,0,0,0,0,0,0,0,6,0.2,0.3,0,0.0024605409,0.0011770913
1000,1,0,0,0,0,0,0,0,7,0.2,0.3,0,0.0033429325,0.0011760501
1000,1,0,0,0,0,0,0,0,8,0.2,0.3,0,0.0043571063,0.0011748534
1000,1,0,0,0,0,0,0,0,9,0.2,0.3,0,0.005501513,0.001173503
1000,1,0,0,0,0,0,0,0,10,0.2,0.3,0,0.0067744511,0.0011720009
1000,1,0,0,0,0,0,0,0,11,0.2,0.3,0,0.0081740725,0.0011703493
1000,1,0,0,0,0,0,0,0,12,0.2,0.3,0,0.0096983889,0.0011685507
1000,1,0,0,0,0,0,0,0,13,0.2,0.3,0,0.0113452779,0.0011666073
1000,1,0,0,0,0,0,0,0,14,0.2,0.3,0,0.0131124902,0.001164522
1000,1,0,0,0,0,0,0,0,15,0.2,0.3,0,0.0149976568,0.0011622975
1000,1,0,0,0,0,0,0,0,16,0.2,0.3,0,0.0169982966,0.0011599368
1000,1,0,0,0,0,0,0,0,17,0.2,0.3,0,0.0191118239,0.0011574428
1000,1,0,0,0,0,0,0,0,18,0.2,0.3,0,0.0213355566,0.0011548188
1000,1,0,0,0,0,0,0,0,19,0.2,0.3,0,0.0236667239,0.001152068
1000,1,0,0,0,0,0,0,0,20,0.2,0.3,0,0.0261024752,0.0011491938
1000,1,0,0,0,0,0,0,0,21,0.2,0.3,0,0.0286398875,0.0011461997
1000,1,0,0,0,0,0,0,0,22,0.2,0.3,0,0.0312759739,0.0011430891
1000,1,0,0,0,0,0,0,0,23,0.2,0.3,0,0.0340076922,0.0011398657
1000,1,0,0,0,0,0,0,0,24,0.2,0.3,0,0.0368319524,0.0011365331
1000,1,0,0,0,0,0,0,0,25,0.2,0.3,0,0.039745625,0.0011330949
1000,1,0,0,0,0,0,0,0,26,0.2,0.3,0,0.0427455488,0.001129555
1000,1,0,0,0,0,0,0,0,27,0.2,0.3,0,0.0458285389,0.0011259171
1000,1,0,0,0,0,0,0,0,28,0.2,0.3,0,0.0489913934,0.0011221849
1000,1,0,0,0,0,0,0,0,29,0.2,0.3,0,0.0522309015,0.0011183623
1000,1,0,0,0,0,0,0,0,30,0.2,0.3,0,0.0555438499,0.001114453
1000,1,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0.0019700255
1000,1,0,0,0,0,0,0,0,1,0.2,0.4,0,0.0002136582,0.0019696046
1000,1,0,0,0,0,0,0,0,2,0.2,0.4,0,0.0008560412,0.0019683391
1000,1,0,0,0,0,0,0,0,3,0.2,0.4,0,0.0019238603,0.0019662354
1000,1,0,0,0,0,0,0,0,4,0.2,0.4,0,0.0034120472,0.0019633037
1000,1,0,0,0,0,0,0,0,5,0.2,0.4,0,0.0053138138,0.0019595571
1000,1,0,0,0,0,0,0,0,6,0.2,0.4,0,0.0076207302,0.0019550124
1000,1,0,0,0,0,0,0,0,7,0.2,0.4,0,0.010322821,0.0019496891
1000,1,0,0,0,0,0,0,0,8,0.2,0.4,0,0.0134086767,0.0019436099
1000,1,0,0,0,0,0,0,0,9,0.2,0.4,0,0.0168655783,0.0019367996
1000,1,0,0,0,0,0,0,0,10,0.2,0.4,0,0.0206796324,0.0019292858
1000,1,0,0,0,0,0,0,0,11,0.2,0.4,0,0.0248359142,0.0019210977
1000,1,0,0,0,0,0,0,0,12,0.2,0.4,0,0.029318615,0.0019122666
1000,1,0,0,0,0,0,0,0,13,0.2,0.4,0,0.0341111932,0.0019028251
1000,1,0,0,0,0,0,0,0,14,0.2,0.4,0,0.039196524,0.0018928067
1000,1,0,0,0,0,0,0,0,15,0.2,0.4,0,0.0445570474,0.0018822463
1000,1,0,0,0,0,0,0,0,16,0.2,0.4,0,0.0501749112,0.0018711789
1000,1,0,0,0,0,0,0,0,17,0.2,0.4,0,0.0560321079,0.00185964
1000,1,0,0,0,0,0,0,0,18,0.2,0.4,0,0.0621106034,0.0018476651
1000,1,0,0,0,0,0,0,0,19,0.2,0.4,0,0.0683924567,0.0018352896
1000,1,0,0,0,0,0,0,0,20,0.2,0.4,0,0.0748599291,0.0018225484
1000,1,0,0,0,0,0,0,0,21,0.2,0.4,0,0.0814955832,0.0018094759
1000,1,0,0,0,0,0,0,0,22,0.2,0.4,0,0.0882823704,0.0017961057
1000,1,0,0,0,0,0,0,0,23,0.2,0.4,0,0.0952037069,0.0017824704
1000,1,0,0,0,0,0,0,0,24,0.2,0.4,0,0.1022435395,0.0017686017
1000,1,0,0,0,0,0,0,0,25,0.2,0.4,0,0.1093863992,0.00175453
1000,1,0,0,0,0,0,0,0,26,0.2,0.4,0,0.1166174459,0.0017402845
1000,1,0,0,0,0,0,0,0,27,0.2,0.4,0,0.123922502,0.0017258933
1000,1,0,0,0,0,0,0,0,28,0.2,0.4,0,0.1312880778,0.0017113828
1000,1,0,0,0,0,0,0,0,29,0.2,0.4,0,0.138701388,0.0016967783
1000,1,0,0,0,0,0,0,0,30,0.2,0.4,0,0.146150361,0.0016821036
1000,1,0,0,0,0,0,0,0,0,0.2,0.5,0,0,0.00349183
1000,1,0,0,0,0,0,0,0,1,0.2,0.5,0,0.0009518209,0.0034885063
1000,1,0,0,0,0,0,0,0,2,0.2,0.5,0,0.0037959717,0.0034785747
1000,1,0,0,0,0,0,0,0,3,0.2,0.5,0,0.0084758155,0.0034622331
1000,1,0,0,0,0,0,0,0,4,0.2,0.5,0,0.0149014772,0.0034397953
1000,1,0,0,0,0,0,0,0,5,0.2,0.5,0,0.02295449,0.0034116749
1000,1,0,0,0,0,0,0,0,6,0.2,0.5,0,0.032493595,0.0033783652
1000,1,0,0,0,0,0,0,0,7,0.2,0.5,0,0.0433611652,0.0033404166
1000,1,0,0,0,0,0,0,0,8,0.2,0.5,0,0.0553897249,0.0032984141
1000,1,0,0,0,0,0,0,0,9,0.2,0.5,0,0.0684081059,0.0032529552
1000,1,0,0,0,0,0,0,0,10,0.2,0.5,0,0.08224689,0.0032046315
1000,1,0,0,0,0,0,0,0,11,0.2,0.5,0,0.0967429165,0.003154013
1000,1,0,0,0,0,0,0,0,12,0.2,0.5,0,0.1117427569,0.0031016351
1000,1,0,0,0,0,0,0,0,13,0.2,0.5,0,0.1271051635,0.0030479914
1000,1,0,0,0,0,0,0,0,14,0.2,0.5,0,0.1427025761,0.002993527
1000,1,0,0,0,0,0,0,0,15,0.2,0.5,0,0.1584218181,0.0029386373
1000,1,0,0,0,0,0,0,0,16,0.2,0.5,0,0.1741641383,0.002883667
1000,1,0,0,0,0,0,0,0,17,0.2,0.5,0,0.1898447527,0.0028289123
1000,1,0,0,0,0,0,0,0,18,0.2,0.5,0,0.2053920343,0.0027746232
1000,1,0,0,0,0,0,0,0,19,0.2,0.5,0,0.2207464746,0.0027210075
1000,1,0,0,0,0,0,0,0,20,0.2,0.5,0,0.2358595196,0.0026682348
1000,1,0,0,0,0,0,0,0,21,0.2,0.5,0,0.2506923618,0.0026164406
1000,1,0,0,0,0,0,0,0,22,0.2,0.5,0,0.2652147448,0.0025657305
1000,1,0,0,0,0,0,0,0,23,0.2,0.5,0,0.2794038225,0.0025161843
1000,1,0,0,0,0,0,0,0,24,0.2,0.5,0,0.2932430975,0.0024678595
1000,1,0,0,0,0,0,0,0,25,0.2,0.5,0,0.3067214551,0.0024207951
1000,1,0,0,0,0,0,0,0,26,0.2,0.5,0,0.3198322972,0.0023750141
1000,1,0,0,0,0,0,0,0,27,0.2,0.5,0,0.3325727769,0.0023305263
